department_name,department_avg,national_average
MAYOTTE,46.5,318.45
MARTINIQUE,233.08,318.45
FINISTERE,234.12,318.45
MANCHE,237.31,318.45
ARDECHE,242.58,318.45
MORBIHAN,249.64,318.45
CANTAL,251.83,318.45
COTES-D'ARMOR,253.48,318.45
HAUTE-SAVOIE,260.97,318.45
DEUX-SEVRES,261.36,318.45
DORDOGNE,262.13,318.45
VIENNE,264.18,318.45
ILLE-ET-VILAINE,265.88,318.45
HAUTE-LOIRE,266.7,318.45
GUYANE,270.23,318.45
HAUTES-ALPES,275.58,318.45
GERS,277.22,318.45
PYRENEES-ORIENTALES,278.66,318.45
ALPES-DE-HAUTE-PROVENCE,280.74,318.45
ARIEGE,281.53,318.45
LOZERE,285.76,318.45
AUDE,285.87,318.45
ALLIER,286.13,318.45
DROME,286.79,318.45
VAUCLUSE,289.69,318.45
HAUTES-PYRENEES,291.88,318.45
ALPES-MARITIMES,292.54,318.45
PUY-DE-DOME,292.9,318.45
SAVOIE,295.16,318.45
LOT,298.33,318.45
ORNE,298.48,318.45
JURA,299.98,318.45
CALVADOS,300.29,318.45
NIEVRE,300.99,318.45
CREUSE,302.69,318.45
TARN,303.86,318.45
MOSELLE,305.9,318.45
LOT-ET-GARONNE,305.96,318.45
VAR,308.05,318.45
AVEYRON,311.78,318.45
HAUTE-MARNE,312.27,318.45
VOSGES,313.21,318.45
MAINE-ET-LOIRE,313.52,318.45
LOIR-ET-CHER,313.75,318.45
GARD,314.38,318.45
CHARENTE,314.45,318.45
AIN,314.49,318.45
HAUT-RHIN,315.06,318.45
CHER,317.01,318.45
HAUTE-VIENNE,317.56,318.45
VENDEE,318.06,318.45